no,word,phonetic,pos,meaning
1,bank,/bæŋk/,n.,银行
2,cafe/café,/ˈkæfeɪ/,n.,咖啡馆
3,cafeteria,/ˌkæfəˈtɪəriə/,n.,自助餐厅
4,garage,/ˈgærɑːʒ/,n.,车库
5,hotel,/həʊˈtel/,n.,旅馆
6,museum,/mjuˈziːəm/,n.,博物馆
7,petrol station,,,加油站
8,post office,,,邮局
9,restaurant,/ˈrestrɒnt/,n.,餐厅
10,sports centre,,,体育中心
11,swimming pool,,,游泳池
12,theatre,/ˈθɪətə(r)/,n.,剧院
13,tourist information,,,旅游信息
